"cbs_buurtnummer","postcode","buurtnaam","wijknaam","wijknummer","leeftijd_tot15","leeftijd_15.65","leeftijd_van65","autochtoon","allochtoon_w","allochtoon_nw","aanwezigheid_binnensport","aanwezigheid_sportveld","aanwezigheid_basisscholen","aanwezigheid_middelbarescholen","aanwezigheid_ov","aanwezigheid_parkeergelegenheid","aanwezigheid_eigenparkeerpl","aantal_basisscholen","aantal_vmboschool","aantal_hav.vwoschool","norm_bushalte","norm_metrostation","norm_tramhalte","aantal_bushaltes","aantal_metrostations","aantal_tramhaltes","veiligheidsindex_sub","veiligheidsindex_ob","aantal_bushaltes_norm","veiligheidsindex_ob_norm","veiligheidsindex_sub_norm","aantal_tramhaltes_norm","aantal_metrostations_norm","aantal_basisscholen_norm","aantal_vmboschool_norm","aantal_hav.vwoschool_norm","lat","long","internetsnelheid","wozwaarde","internetsnelheid_norm","wozwaarde_norm","leeftijd_tot15_norm","leeftijd_15.65_norm","leeftijd_van65_norm","allochtoon_w_norm","allochtoon_nw_norm","aanwezigheid_binnensport_norm","aanwezigheid_sportveld_norm","aanwezigheid_basisscholen_norm","aanwezigheid_middelbarescholen_norm","aanwezigheid_ov_norm","aanwezigheid_parkeergelegenheid_norm","aanwezigheid_eigenparkeerpl_norm","autochtoon_norm"
"BU05990110",3011,"Stadsdriehoek","Rotterdam Centrum",10,8,81,11,56,20,24,73,18,29,25,98,63,36,0.4,0.9,2,70,100,100,1.4,5.9,46.8,124,75,4,4,6,9,9,1,2,3,51.9189675257111,4.48834419250488,50,182000,1,5,1,8,2,6,3,7,0,2,3,10,6,5,6
"BU05990111",3014,"Oude Westen","Rotterdam Centrum",11,14,72,14,29,12,60,67,38,72,48,98,44,9,1.5,3.4,6.9,40,100,100,0.8,5.9,47.1,91,85,2,5,3,9,9,4,6,10,51.9183942,4.4674905,200,126000,4,2,4,6,2,3,7,7,3,8,6,10,3,1,2
"BU05990112",3012,"Cool","Rotterdam Centrum",12,8,79,14,47,18,35,72,21,45,28,98,35,11,0.6,0.8,3.2,50,100,100,0.6,6.8,49.3,98,39,2,0,4,10,10,2,1,5,51.9194046,4.4757692,500,153000,10,3,1,8,2,5,4,7,0,4,4,10,2,1,4
"BU05990113",3013,"CS-kwartier","Rotterdam Centrum",13,6,86,8,38,24,38,88,40,20,30,98,74,58,0.5,5.3,6.1,90,100,100,1.8,5.4,50.2,97,49,5,1,3,10,8,1,9,9,51.9238772800164,4.46971893310547,200,153000,4,3,0,10,1,8,5,9,3,1,4,10,7,8,3
"BU05990117",3071,"Kop van Zuid","Feijenoord",17,8,88,4,45,18,37,71,20,30,24,98,87,71,0.2,0.6,1.1,80,100,100,1.4,3.8,23.5,155,92,4,5,9,5,6,1,1,2,51.9057487,4.4865501,500,153000,10,3,1,10,0,5,4,7,0,2,3,10,9,10,4
"BU05990118",3016,"Nieuwe Werk","Rotterdam Centrum",3003,6,83,11,58,17,25,43,32,16,14,93,75,35,0.1,0.5,1.6,0,100,100,0,4.6,38.6,141,74,0,4,8,8,7,0,1,2,51.9062395,4.4736472,500,156000,10,3,0,9,2,5,3,4,2,0,2,9,8,5,6
"BU05990119",3015,"Dijkzigt","Rotterdam Centrum",3003,6,83,11,58,17,25,43,32,16,14,93,75,35,0.1,0.5,1.6,0,100,100,0,4.6,38.6,141,74,0,4,8,8,7,0,1,2,51.9116278,4.4712699,500,156000,10,3,0,9,2,5,3,4,2,0,2,9,8,5,6
"BU05990320",3024,"Delfshaven","Delfshaven",20,14,79,7,38,14,48,39,62,58,47,92,61,13,1.2,3.4,2.4,0,100,100,0,2.6,28.2,102,90,0,5,4,6,4,3,6,3,51.9048893,4.4539567,500,153000,10,3,4,8,1,4,6,4,6,6,6,9,6,2,3
"BU05990321",3025,"Bospolder","Delfshaven",21,19,72,10,19,10,71,64,31,70,38,98,50,16,1.8,2.4,1.2,0,100,100,0,2.6,23.1,72,99,0,6,1,5,4,5,4,2,51.9080879,4.442312,80,108000,2,1,6,6,1,2,9,6,2,8,5,10,4,2,1
"BU05990322",3026,"Tussendijken","Delfshaven",22,18,71,12,21,13,67,74,41,74,44,98,47,9,3.5,1.5,0.4,10,100,100,0.1,2.5,23.7,86,84,0,5,2,5,4,10,3,1,51.9127262,4.4422433,100,96000,2,1,5,6,2,3,8,8,3,8,6,10,4,1,1
