wijknaam;wijknummer;buurtnaam;cbs_wijknummer;leeftijd_tot15;leeftijd_15-65;leeftijd_van65;autochtoon;allochtoon_w;allochtoon_nw;aanwezigheid_binnensport;aanwezigheid_sportveld;aanwezigheid_basisscholen;aanwezigheid_middelbarescholen;aanwezigheid_ov;aanwezigheid_parkeergelegenheid;aanwezigheid_eigenparkeerpl;aantal_basisscholen;aantal_vmboschool;aantal_hav/vwoschool;norm_bushalte;norm_metrostation;norm_tramhalte;aantal_bushaltes;aantal_metrostations;aantal_tramhaltes;veiligheidsindex_sub;veiligheidsindex_ob
Rotterdam Centrum;4000;Rotterdam Centrum;WK059901;9%;78%;12%;46%;17%;37%;37%;23%;50%;35%;98%;61%;39%;0,5;1,3;2,8;58%;100%;100%;1,1;6;47,2;103;65
Delfshaven;4001;Delfshaven;WK059903;17%;74%;9%;30%;13%;58%;46%;51%;73%;48%;94%;54%;15%;1,5;2,3;2,1;53%;99%;100%;0,9;2,4;25,8;83;100
Overschie;4002;Overschie;WK059904;18%;65%;17%;64%;10%;27%;54%;64%;77%;20%;72%;60%;22%;0,4;0;0;76%;9%;38%;1,4;0,1;1,2;114;119
Noord;4003;Noord;WK059905;14%;75%;11%;49%;13%;39%;50%;40%;71%;50%;92%;47%;11%;1,2;3,3;2,3;66%;75%;100%;1,5;2,1;35,2;99;104
Hillegersberg-Schiebroek;4004;Hillegersberg-Schiebroek;WK059906;20%;62%;19%;72%;12%;17%;62%;77%;84%;70%;90%;62%;23%;0,7;1,5;1,2;71%;48%;100%;1,2;0,7;14,6;129;120
Kralingen-Crooswijk;4005;Kralingen-Crooswijk;WK059908;14%;72%;14%;48%;15%;37%;53%;62%;66%;48%;93%;65%;18%;0,8;2,4;2,5;41%;84%;100%;0,7;2,6;27,9;102;106
Prins Alexander;4006;Prins Alexander;WK059914;17%;63%;20%;67%;10%;23%;58%;71%;80%;52%;93%;71%;21%;0,5;1,3;1,2;61%;94%;7%;1;2,8;0,1;123;120
Feijenoord;4007;Feijenoord;WK059910;18%;70%;12%;32%;10%;58%;36%;47%;80%;48%;91%;54%;18%;1,2;1,1;1;84%;75%;100%;2;1,8;23,5;79;93
IJsselmonde;4008;IJsselmonde;WK059912;17%;64%;18%;53%;9%;37%;44%;54%;75%;39%;87%;59%;16%;0,6;1,1;0,4;67%;0%;100%;1,1;0;15,1;87;107
Charlois;4009;Charlois;WK059915;18%;69%;13%;38%;15%;47%;39%;62%;78%;57%;91%;55%;14%;1;2;1,5;65%;72%;98%;1,3;1;8,8;77;92
Pernis;4010;Pernis;WK059913;16%;65%;19%;83%;8%;9%;62%;84%;85%;4%;68%;63%;28%;0,6;0;0;82%;100%;0%;1,2;1;0;145;140
Hoogvliet;4011;Hoogvliet;WK059916;15%;65%;20%;65%;9%;26%;56%;61%;86%;70%;88%;66%;21%;0,7;1;0,6;83%;77%;0%;1,2;1,5;0;121;128
Hoek van Holland;4012;Hoek van Holland;WK059917;15%;62%;23%;87%;8%;5%;55%;87%;88%;7%;77%;72%;22%;0,4;0;0;79%;85%;0%;1,8;0,8;0;144;134
Rozenburg;4013;Rozenburg;WK059927;16%;64%;20%;81%;10%;9%;67%;79%;82%;44%;79%;61%;23%;0,4;0,5;0,6;66%;0%;0%;0,9;0;0;131;137
