wijknaam;wijknummer;buurtnaam;cbs_buurtnummer;leeftijd_tot15;leeftijd_15-65;leeftijd_van65;autochtoon;allochtoon_w;allochtoon_nw;aanwezigheid_binnensport;aanwezigheid_sportveld;aanwezigheid_basisscholen;aanwezigheid_middelbarescholen;aanwezigheid_ov;aanwezigheid_parkeergelegenheid;aanwezigheid_eigenparkeerpl;aantal_basisscholen;aantal_vmboschool;aantal_hav/vwoschool;norm_bushalte;norm_metrostation;norm_tramhalte;aantal_bushaltes;aantal_metrostations;aantal_tramhaltes;veiligheidsindex_sub;veiligheidsindex_ob
Hoek van Holland;1;Strand en duin;BU05991701;20%;65%;15%;90%;7%;3%;42%;85%;66%;9%;80%;81%;51%;0;0;0;52%;55%;0%;0.8;0.6;0;147;126
Rozenburg;4;Rozenburg;BU05992704;16%;64%;20%;81%;10%;9%;67%;79%;82%;44%;79%;61%;23%;0.4;0.5;0.6;66%;0%;0%;0.9;0;0;131;137
Rotterdam Centrum;10;Stadsdriehoek;BU05990110;8%;81%;11%;56%;20%;24%;39%;14%;47%;28%;98%;71%;48%;0.3;0.4;1.2;76%;100%;100%;1.4;5.9;46.9;120;74
Rotterdam Centrum;11;Oude Westen;BU05990111;14%;72%;14%;29%;12%;60%;42%;40%;66%;51%;99%;48%;21%;1;2.9;6.2;43%;100%;100%;0.8;5.9;47.1;87;81
Rotterdam Centrum;12;Cool;BU05990112;8%;79%;14%;47%;18%;35%;30%;21%;48%;34%;98%;39%;23%;0.5;0.9;2.7;42%;100%;100%;0.6;6.8;49.8;82;50
Rotterdam Centrum;13;CS-kwartier;BU05990113;6%;86%;8%;38%;24%;38%;62%;42%;45%;58%;100%;83%;69%;0.1;4.6;4.5;90%;100%;100%;1.8;5.4;50.2;113;57
Kralingen-Crooswijk;14;Rubroek;BU05990814;13%;72%;15%;47%;12%;41%;54%;44%;69%;50%;91%;65%;19%;1.2;2.3;2.7;59%;100%;100%;1.3;4.3;42.5;96;99
Noord;15;Agniesebuurt;BU05990515;14%;75%;11%;32%;12%;56%;41%;23%;57%;53%;94%;49%;14%;0.3;4.4;2.1;79%;100%;100%;2.2;3.6;43.7;86;79
Noord;16;Provenierswijk;BU05990516;12%;77%;10%;43%;14%;44%;42%;41%;68%;60%;95%;62%;15%;0.8;5.6;5.3;17%;100%;100%;0.2;4.2;45;96;101
Feijenoord;17;Kop van Zuid;BU05990117;8%;88%;4%;45%;18%;37%;25%;26%;39%;23%;99%;80%;68%;0.1;0;1;56%;100%;100%;1;3.9;24.1;130;108
Delfshaven;20;Delfshaven;BU05990320;14%;79%;7%;38%;14%;48%;22%;53%;57%;45%;90%;65%;21%;1.1;3.5;1.4;0%;100%;100%;0;2.7;27.7;98;97
Delfshaven;21;Bospolder;BU05990321;19%;72%;10%;19%;10%;71%;36%;39%;80%;45%;98%;50%;11%;2;2.2;0.7;1%;100%;100%;0;2.6;23.1;63;97
Delfshaven;22;Tussendijken;BU05990322;18%;71%;12%;21%;13%;67%;45%;44%;74%;40%;97%;38%;9%;2.2;1.5;0.3;6%;100%;100%;0.1;2.5;23.7;62;90
Delfshaven;23;Spangen;BU05990323;21%;72%;7%;17%;10%;73%;56%;56%;82%;48%;94%;67%;15%;1.8;1.3;0.1;85%;100%;100%;1.2;1.8;16.7;81;106
