cbs_wijkcode, wijknaam
WK059901, Stadscentrum
WK059903, Delfshaven
WK059904, Overschie
WK059905, Noord
WK059906, Hillegersberg-Schiebroek
WK059908, Kralingen-Crooswijk
WK059910, Feijenoord
WK059912, IJsselmonde
WK059913, Pernis
WK059914, Prins Alexander
WK059915, Charlois
WK059916, Hoogvliet
WK059917, Hoek van Holland
WK059918, Spaanse Polder
WK059919, Nieuw Mathenesse
WK059921, Waalhaven-Eemhaven
WK059922, Vondelingsplaat
WK059923, Botlek-Europoort-Maasvlakte
WK059924, Rotterdam-Noord-West
WK059925, Rivium
WK059926, Bedrijventerrein Schieveen
WK059927, Rozenburg
