Kerncijfers wijken en buurten 2014;;;
Onderwerpen;Wonen;;
Onderwerpen;Gemiddelde woningwaarde;;
Onderwerpen;Gemiddelde woningwaarde;;
Wijken en buurten;x 1 000 euro;;
Nederland;211;#N/B;1
Heerenveen;183;#N/B;1
Wijk 01 Heerenveen;165;#N/B;1
Noord;168;#N/B;1
Centrum;130;#N/B;1
Midden;130;#N/B;1
Nijehaske;162;#N/B;1
De Greiden;140;#N/B;1
De Heide;349;#N/B;1
De Akkers;145;#N/B;1
Skoatterwald;253;#N/B;1
Het meer;238;#N/B;1
Nieuweschoot;287;#N/B;1
Haskerveen;.;#N/B;1
Wijk 02 Noord-Heerenveen;236;#N/B;1
Terband;242;#N/B;1
Luinjeberd;224;#N/B;1
Tjalleberd;223;#N/B;1
Gersloot;.;#N/B;1
Gersloot-polder;.;#N/B;1
Wijk 03 Hoornsterzwaag;241;#N/B;1
De Knipe;231;#N/B;1
Bontebok;276;#N/B;1
Wijk 04 Jubbega;211;#N/B;1
Oudeschoot;163;#N/B;1
Mildam;237;#N/B;1
Katlijk;309;#N/B;1
Nieuwehorne;202;#N/B;1
Oudehorne;274;#N/B;1
Jubbega;191;#N/B;1
Hoornsterzwaag;268;#N/B;1
Wijk 06 Oranjewoud;291;#N/B;1
Oranjewoud;291;#N/B;1
Skarsterlân;218;#N/B;1
Haskerdijken;224;#N/B;1
Nieuwebrug;204;#N/B;1
Boarnsterhim;182;#N/B;1
Akkrum;161;#N/B;1
Nes;300;#N/B;1
Aldeboarn;167;#N/B;1
Rotterdam;148;#N/B;1
Wijk 01 Rotterdam Centrum;169;#N/B;1
Stadsdriehoek;182;10;10
Oude Westen;126;11;11
Cool;153;12;12
C.S. kwartier;166;#N/B;1
Nieuwe Werk;389;3003;3003
Dijkzigt;123;3003;3003
Wijk 03 Delfshaven;121;#N/B;1
Delfshaven;110;20;20
Bospolder;108;21;21
Tussendijken;96;22;22
Spangen;105;23;23
Nieuwe Westen;131;24;24
Middelland;145;25;25
Oud-Mathenesse;85;#N/B;1
Witte Dorp;135;#N/B;1
Schiemond;174;29;29
Wijk 04 Overschie;157;#N/B;1
Kleinpolder;124;51;51
Noord-Kethel;.;#N/B;1
Schieveen;326;3006;3006
Zestienhoven;294;3006;3006
Overschie;173;56;56
Landzicht;79;#N/B;1
Wijk 05 Noord;133;#N/B;1
Agniesebuurt;128;15;15
Provenierswijk;139;16;16
Bergpolder;113;31;31
Blijdorp;157;3011;3011
Liskwartier;156;34;34
Oude Noorden;118;35;35
Blijdorpse Polder;.;#N/B;1
Wijk 06 Hillegersberg-Schiebroek;245;#N/B;1
Schiebroek;164;60;60
Hillegersberg-Zuid;208;61;61
Hillegersberg-Noord;302;62;62
Terbregge;291;64;64
Molenlaankwartier;386;65;65
Wijk 08 Kralingen-Crooswijk;172;#N/B;1
Rubroek;126;14;14
Nieuw-Crooswijk;119;#N/B;1
Oud-Crooswijk;121;#N/B;1
Kralingen-West;146;41;41
Kralingen-Oost;393;#N/B;1
Kralingse Bos;319;3005;3005
De Esch;144;45;45
Struisenburg;184;47;47
Wijk 10 Feijenoord;120;#N/B;1
Kop van Zuid;207;17;17
