wijknummer,veiligheidsindex,veiligheidsbeleving
71,81,51
72,90,46
73,92,73
74,90,72
75,104,103
76,89,85
77,90,44
78,68,92
93,129,107
4009,86,61
20,96,102
21,85,48
22,85,74
23,92,78
24,93,94
25,88,90
29,100,83
3004,93,62
4001,90,82
17,124,150
79,98,106
80,84,80
81,82,57
82,73,44
85,125,136
86,80,36
87,88,64
88,116,130
4007,86,74
60,112,120
61,137,171
62,132,168
64,141,175
65,139,155
4004,125,151
1,140,151
3001,126,139
4012,127,141
92,108,105
99,115,107
4011,112,107
83,119,128
84,94,76
90,92,84
1009,92,59
1010,94,71
4008,94,78
14,102,113
36,97,114
37,94,77
41,95,78
45,122,137
47,119,147
3005,113,137
4005,102,106
15,79,68
16,97,104
31,120,140
34,111,123
35,96,96
3011,125,169
4003,104,120
51,99,94
56,117,138
3006,114,164
4002,107,122
91,123,151
4010,123,151
44,138,163
46,149,174
48,131,127
49,119,128
63,117,104
66,104,92
67,95,72
68,126,150
4006,115,115
10,100,132
11,88,80
12,68,106
13,73,98
3003,107,151
4000,85,113
4,132,137
4013,132,137
5000,100,100
